dst,org,date,lei,lei50mi
1,1,2022-01-01,20459158.0,5323071.0
1,2,2022-01-01,0.0,0.0
1,4,2022-01-01,6441.0,6441.0
1,5,2022-01-01,23697.0,23697.0
1,6,2022-01-01,26625.0,26625.0
1,8,2022-01-01,16065.0,16065.0
1,9,2022-01-01,7137.0,7137.0
1,10,2022-01-01,1788.0,1788.0
1,11,2022-01-01,2217.0,2217.0
1,12,2022-01-01,1244169.0,563019.0
1,13,2022-01-01,2680997.0,1042200.0
1,15,2022-01-01,109.0,109.0
1,16,2022-01-01,3099.0,3099.0
1,17,2022-01-01,51534.0,51534.0
1,18,2022-01-01,33665.0,33665.0
1,19,2022-01-01,7955.0,7955.0
1,20,2022-01-01,26971.0,26971.0
1,21,2022-01-01,63112.0,63112.0
1,22,2022-01-01,158814.0,158814.0
1,23,2022-01-01,1827.0,1827.0
1,24,2022-01-01,13539.0,13539.0
1,25,2022-01-01,9228.0,9228.0
1,26,2022-01-01,40862.0,40862.0
1,27,2022-01-01,8137.0,8137.0
1,28,2022-01-01,1158239.0,504825.0
1,29,2022-01-01,23367.0,23367.0
1,30,2022-01-01,1754.0,1754.0
1,31,2022-01-01,2684.0,2684.0
1,32,2022-01-01,7027.0,7027.0
1,33,2022-01-01,3537.0,3537.0
1,34,2022-01-01,13324.0,13324.0
1,35,2022-01-01,2220.0,2220.0
1,36,2022-01-01,34857.0,34857.0
1,37,2022-01-01,86523.0,86523.0
1,38,2022-01-01,792.0,792.0
1,39,2022-01-01,27158.0,27158.0
1,40,2022-01-01,9057.0,9057.0
1,41,2022-01-01,1911.0,1911.0
1,42,2022-01-01,28898.0,28898.0
1,44,2022-01-01,1858.0,1858.0
1,45,2022-01-01,52981.0,52981.0
1,46,2022-01-01,775.0,775.0
1,47,2022-01-01,1036389.0,474257.0
1,48,2022-01-01,115247.0,115247.0
1,49,2022-01-01,3128.0,3128.0
1,50,2022-01-01,1960.0,1960.0
1,51,2022-01-01,33273.0,33273.0
1,53,2022-01-01,6216.0,6216.0
1,54,2022-01-01,4269.0,4269.0
1,55,2022-01-01,10105.0,10105.0
1,56,2022-01-01,1487.0,1487.0
1,1,2022-02-01,20354426.0,3925177.0
1,2,2022-02-01,153.0,153.0
1,4,2022-02-01,6459.0,6459.0
1,5,2022-02-01,13492.0,13492.0
1,6,2022-02-01,9374.0,9374.0
1,8,2022-02-01,10530.0,10530.0
1,9,2022-02-01,2587.0,2587.0
1,10,2022-02-01,734.0,734.0
1,11,2022-02-01,1487.0,1487.0
1,12,2022-02-01,1257846.0,399001.0
1,13,2022-02-01,2396196.0,564349.0
1,15,2022-02-01,0.0,0.0
1,16,2022-02-01,1552.0,1552.0
1,17,2022-02-01,21902.0,21902.0
1,18,2022-02-01,17963.0,17963.0
1,19,2022-02-01,4567.0,4567.0
1,20,2022-02-01,6366.0,6366.0
1,21,2022-02-01,54620.0,54620.0
1,22,2022-02-01,77260.0,77260.0
1,23,2022-02-01,488.0,488.0
1,24,2022-02-01,6198.0,6198.0
1,25,2022-02-01,3920.0,3920.0
1,26,2022-02-01,17526.0,17526.0
1,27,2022-02-01,4025.0,4025.0
1,28,2022-02-01,1047419.0,356545.0
1,29,2022-02-01,13121.0,13121.0
1,30,2022-02-01,1112.0,1112.0
1,31,2022-02-01,1635.0,1635.0
1,32,2022-02-01,4583.0,4583.0
1,33,2022-02-01,1464.0,1464.0
1,34,2022-02-01,4609.0,4609.0
1,35,2022-02-01,997.0,997.0
1,36,2022-02-01,14507.0,14507.0
1,37,2022-02-01,44713.0,44713.0
1,38,2022-02-01,143.0,143.0
1,39,2022-02-01,18693.0,18693.0
1,40,2022-02-01,4876.0,4876.0
1,41,2022-02-01,1723.0,1723.0
1,42,2022-02-01,12729.0,12729.0
1,44,2022-02-01,522.0,522.0
1,45,2022-02-01,25730.0,25730.0
1,46,2022-02-01,646.0,646.0
1,47,2022-02-01,985743.0,320325.0
1,48,2022-02-01,60852.0,60852.0
1,49,2022-02-01,1498.0,1498.0
1,50,2022-02-01,533.0,533.0
1,51,2022-02-01,24988.0,24988.0
1,53,2022-02-01,2591.0,2591.0
1,54,2022-02-01,2229.0,2229.0
1,55,2022-02-01,5074.0,5074.0
1,56,2022-02-01,791.0,791.0
1,1,2022-03-01,20484378.0,3748316.0
1,2,2022-03-01,0.0,0.0
1,4,2022-03-01,3129.0,3129.0
1,5,2022-03-01,11677.0,11677.0
1,6,2022-03-01,7530.0,7530.0
1,8,2022-03-01,10052.0,10052.0
1,9,2022-03-01,1344.0,1344.0
1,10,2022-03-01,298.0,298.0
1,11,2022-03-01,935.0,935.0
1,12,2022-03-01,1165724.0,380950.0
1,13,2022-03-01,2429382.0,468949.0
1,15,2022-03-01,273.0,273.0
1,16,2022-03-01,783.0,783.0
1,17,2022-03-01,21024.0,21024.0
1,18,2022-03-01,14075.0,14075.0
1,19,2022-03-01,3132.0,3132.0
1,20,2022-03-01,4918.0,4918.0
1,21,2022-03-01,34387.0,34387.0
1,22,2022-03-01,54504.0,54504.0
1,23,2022-03-01,501.0,501.0
1,24,2022-03-01,5200.0,5200.0
1,25,2022-03-01,2042.0,2042.0
1,26,2022-03-01,15592.0,15592.0
1,27,2022-03-01,3294.0,3294.0
1,28,2022-03-01,1044535.0,337276.0
1,29,2022-03-01,10524.0,10524.0
1,30,2022-03-01,370.0,370.0
1,31,2022-03-01,1233.0,1233.0
1,32,2022-03-01,3993.0,3993.0
1,33,2022-03-01,832.0,832.0
1,34,2022-03-01,2798.0,2798.0
1,35,2022-03-01,763.0,763.0
1,36,2022-03-01,10401.0,10401.0
1,37,2022-03-01,40518.0,40518.0
1,38,2022-03-01,151.0,151.0
1,39,2022-03-01,15037.0,15037.0
1,40,2022-03-01,3872.0,3872.0
1,41,2022-03-01,772.0,772.0
1,42,2022-03-01,8389.0,8389.0
1,44,2022-03-01,459.0,459.0
1,45,2022-03-01,23611.0,23611.0
1,46,2022-03-01,319.0,319.0
1,47,2022-03-01,943934.0,290422.0
1,48,2022-03-01,56535.0,56535.0
1,49,2022-03-01,831.0,831.0
1,50,2022-03-01,198.0,198.0
1,51,2022-03-01,16204.0,16204.0
1,53,2022-03-01,1908.0,1908.0
1,54,2022-03-01,911.0,911.0
1,55,2022-03-01,5133.0,5133.0
1,56,2022-03-01,339.0,339.0
1,1,2022-04-01,20192627.0,4962739.0
1,2,2022-04-01,109.0,109.0
1,4,2022-04-01,1909.0,1909.0
1,5,2022-04-01,9055.0,9055.0
1,6,2022-04-01,6234.0,6234.0
1,8,2022-04-01,5123.0,5123.0
1,9,2022-04-01,5311.0,5311.0
1,10,2022-04-01,314.0,314.0
1,11,2022-04-01,1270.0,1270.0
1,12,2022-04-01,1056092.0,388609.0
1,13,2022-04-01,2530091.0,610707.0
1,15,2022-04-01,0.0,0.0
1,16,2022-04-01,813.0,813.0
1,17,2022-04-01,21103.0,21103.0
1,18,2022-04-01,12341.0,12341.0
1,19,2022-04-01,2782.0,2782.0
1,20,2022-04-01,4008.0,4008.0
1,21,2022-04-01,28840.0,28840.0
1,22,2022-04-01,61218.0,61218.0
1,23,2022-04-01,470.0,470.0
1,24,2022-04-01,4291.0,4291.0
1,25,2022-04-01,2862.0,2862.0
1,26,2022-04-01,9843.0,9843.0
1,27,2022-04-01,3040.0,3040.0
1,28,2022-04-01,1076460.0,418595.0
1,29,2022-04-01,9140.0,9140.0
1,30,2022-04-01,140.0,140.0
1,31,2022-04-01,1062.0,1062.0
1,32,2022-04-01,3761.0,3761.0
1,33,2022-04-01,379.0,379.0
1,34,2022-04-01,3731.0,3731.0
1,35,2022-04-01,674.0,674.0
1,36,2022-04-01,11803.0,11803.0
1,37,2022-04-01,30909.0,30909.0
1,38,2022-04-01,152.0,152.0
1,39,2022-04-01,15836.0,15836.0
1,40,2022-04-01,3556.0,3556.0
1,41,2022-04-01,591.0,591.0
1,42,2022-04-01,6021.0,6021.0
1,44,2022-04-01,412.0,412.0
1,45,2022-04-01,18398.0,18398.0
1,46,2022-04-01,230.0,230.0
1,47,2022-04-01,902029.0,316448.0
1,48,2022-04-01,57590.0,57590.0
1,49,2022-04-01,506.0,506.0
1,50,2022-04-01,208.0,208.0
1,51,2022-04-01,14337.0,14337.0
1,53,2022-04-01,1496.0,1496.0
1,54,2022-04-01,701.0,701.0
1,55,2022-04-01,3641.0,3641.0
1,56,2022-04-01,73.0,73.0
1,1,2022-05-01,20687115.0,5746429.0
1,2,2022-05-01,356.0,356.0
1,4,2022-05-01,3058.0,3058.0
1,5,2022-05-01,12527.0,12527.0
1,6,2022-05-01,10244.0,10244.0
1,8,2022-05-01,8669.0,8669.0
1,9,2022-05-01,2077.0,2077.0
1,10,2022-05-01,652.0,652.0
1,11,2022-05-01,995.0,995.0
1,12,2022-05-01,1214384.0,542253.0
1,13,2022-05-01,2666002.0,910483.0
1,15,2022-05-01,112.0,112.0
1,16,2022-05-01,420.0,420.0
1,17,2022-05-01,22350.0,22350.0
1,18,2022-05-01,17299.0,17299.0
1,19,2022-05-01,2955.0,2955.0
1,20,2022-05-01,8018.0,8018.0
1,21,2022-05-01,38949.0,38949.0
1,22,2022-05-01,122563.0,122563.0
1,23,2022-05-01,631.0,631.0
1,24,2022-05-01,4830.0,4830.0
1,25,2022-05-01,4314.0,4314.0
1,26,2022-05-01,11407.0,11407.0
1,27,2022-05-01,3864.0,3864.0
1,28,2022-05-01,1180919.0,532287.0
1,29,2022-05-01,12487.0,12487.0
1,30,2022-05-01,461.0,461.0
1,31,2022-05-01,1664.0,1664.0
1,32,2022-05-01,4537.0,4537.0
1,33,2022-05-01,630.0,630.0
1,34,2022-05-01,5025.0,5025.0
1,35,2022-05-01,668.0,668.0
1,36,2022-05-01,13717.0,13717.0
1,37,2022-05-01,44247.0,44247.0
1,38,2022-05-01,559.0,559.0
1,39,2022-05-01,21832.0,21832.0
1,40,2022-05-01,5299.0,5299.0
1,41,2022-05-01,551.0,551.0
1,42,2022-05-01,8112.0,8112.0
1,44,2022-05-01,1212.0,1212.0
1,45,2022-05-01,27252.0,27252.0
1,46,2022-05-01,567.0,567.0
1,47,2022-05-01,1018387.0,429851.0
1,48,2022-05-01,74394.0,74394.0
1,49,2022-05-01,2382.0,2382.0
1,50,2022-05-01,84.0,84.0
1,51,2022-05-01,16849.0,16849.0
1,53,2022-05-01,1683.0,1683.0
1,54,2022-05-01,1281.0,1281.0
1,55,2022-05-01,5201.0,5201.0
1,56,2022-05-01,97.0,97.0
1,1,2022-06-01,22185052.0,5320686.0
1,2,2022-06-01,532.0,532.0
1,4,2022-06-01,2618.0,2618.0
1,5,2022-06-01,10192.0,10192.0
1,6,2022-06-01,11699.0,11699.0
1,8,2022-06-01,6257.0,6257.0
1,9,2022-06-01,2076.0,2076.0
1,10,2022-06-01,2335.0,2335.0
1,11,2022-06-01,1381.0,1381.0
1,12,2022-06-01,1089801.0,405104.0
1,13,2022-06-01,2697006.0,773450.0
1,15,2022-06-01,0.0,0.0
1,16,2022-06-01,387.0,387.0
1,17,2022-06-01,30795.0,30795.0
1,18,2022-06-01,11099.0,11099.0
1,19,2022-06-01,1900.0,1900.0
1,20,2022-06-01,6063.0,6063.0
1,21,2022-06-01,36252.0,36252.0
1,22,2022-06-01,87653.0,87653.0
1,23,2022-06-01,315.0,315.0
1,24,2022-06-01,4809.0,4809.0
1,25,2022-06-01,4464.0,4464.0
1,26,2022-06-01,11626.0,11626.0
1,27,2022-06-01,3114.0,3114.0
1,28,2022-06-01,1128621.0,419799.0
1,29,2022-06-01,13765.0,13765.0
1,30,2022-06-01,439.0,439.0
1,31,2022-06-01,1211.0,1211.0
1,32,2022-06-01,3746.0,3746.0
1,33,2022-06-01,465.0,465.0
1,34,2022-06-01,3945.0,3945.0
1,35,2022-06-01,689.0,689.0
1,36,2022-06-01,16585.0,16585.0
1,37,2022-06-01,37406.0,37406.0
1,38,2022-06-01,77.0,77.0
1,39,2022-06-01,17814.0,17814.0
1,40,2022-06-01,4278.0,4278.0
1,41,2022-06-01,465.0,465.0
1,42,2022-06-01,8945.0,8945.0
1,44,2022-06-01,747.0,747.0
1,45,2022-06-01,22685.0,22685.0
1,46,2022-06-01,978.0,978.0
1,47,2022-06-01,940128.0,330136.0
1,48,2022-06-01,69263.0,69263.0
1,49,2022-06-01,730.0,730.0
1,50,2022-06-01,505.0,505.0
1,51,2022-06-01,13943.0,13943.0
1,53,2022-06-01,2232.0,2232.0
1,54,2022-06-01,543.0,543.0
1,55,2022-06-01,2367.0,2367.0
1,56,2022-06-01,302.0,302.0
1,1,2022-07-01,24328217.0,5780286.0
1,2,2022-07-01,0.0,0.0
1,4,2022-07-01,3281.0,3281.0
1,5,2022-07-01,10044.0,10044.0
1,6,2022-07-01,12501.0,12501.0
1,8,2022-07-01,11645.0,11645.0
1,9,2022-07-01,1656.0,1656.0
1,10,2022-07-01,285.0,285.0
1,11,2022-07-01,2123.0,2123.0
1,12,2022-07-01,1328460.0,473774.0
1,13,2022-07-01,3018487.0,856099.0
1,15,2022-07-01,252.0,252.0
1,16,2022-07-01,541.0,541.0
1,17,2022-07-01,24965.0,24965.0
1,18,2022-07-01,11572.0,11572.0
1,19,2022-07-01,1690.0,1690.0
1,20,2022-07-01,4923.0,4923.0
1,21,2022-07-01,45299.0,45299.0
1,22,2022-07-01,96212.0,96212.0
1,23,2022-07-01,609.0,609.0
1,24,2022-07-01,8952.0,8952.0
1,25,2022-07-01,4577.0,4577.0
1,26,2022-07-01,12774.0,12774.0
1,27,2022-07-01,3850.0,3850.0
1,28,2022-07-01,1150248.0,437026.0
1,29,2022-07-01,10176.0,10176.0
1,30,2022-07-01,738.0,738.0
1,31,2022-07-01,1088.0,1088.0
1,32,2022-07-01,3269.0,3269.0
1,33,2022-07-01,1045.0,1045.0
1,34,2022-07-01,4778.0,4778.0
1,35,2022-07-01,555.0,555.0
1,36,2022-07-01,15050.0,15050.0
1,37,2022-07-01,38323.0,38323.0
1,38,2022-07-01,147.0,147.0
1,39,2022-07-01,17439.0,17439.0
1,40,2022-07-01,4061.0,4061.0
1,41,2022-07-01,1091.0,1091.0
1,42,2022-07-01,11661.0,11661.0
1,44,2022-07-01,795.0,795.0
1,45,2022-07-01,22395.0,22395.0
1,46,2022-07-01,218.0,218.0
1,47,2022-07-01,1096920.0,399929.0
1,48,2022-07-01,72566.0,72566.0
1,49,2022-07-01,2237.0,2237.0
1,50,2022-07-01,2716.0,2716.0
1,51,2022-07-01,16902.0,16902.0
1,53,2022-07-01,2283.0,2283.0
1,54,2022-07-01,1376.0,1376.0
1,55,2022-07-01,3432.0,3432.0
1,56,2022-07-01,85.0,85.0
1,1,2022-08-01,29724525.0,8084461.0
1,2,2022-08-01,0.0,0.0
1,4,2022-08-01,6015.0,6015.0
1,5,2022-08-01,27059.0,27059.0
1,6,2022-08-01,24655.0,24655.0
1,8,2022-08-01,25317.0,25317.0
1,9,2022-08-01,7686.0,7686.0
1,10,2022-08-01,1999.0,1999.0
1,11,2022-08-01,4113.0,4113.0
1,12,2022-08-01,1643765.0,701285.0
1,13,2022-08-01,4079542.0,1289634.0
1,15,2022-08-01,189.0,189.0
1,16,2022-08-01,1622.0,1622.0
1,17,2022-08-01,45437.0,45437.0
1,18,2022-08-01,24902.0,24902.0
1,19,2022-08-01,4812.0,4812.0
1,20,2022-08-01,12852.0,12852.0
1,21,2022-08-01,110142.0,110142.0
1,22,2022-08-01,175406.0,175406.0
1,23,2022-08-01,1516.0,1516.0
1,24,2022-08-01,15619.0,15619.0
1,25,2022-08-01,15030.0,15030.0
1,26,2022-08-01,26787.0,26787.0
1,27,2022-08-01,5549.0,5549.0
1,28,2022-08-01,1700582.0,744946.0
1,29,2022-08-01,26788.0,26788.0
1,30,2022-08-01,1228.0,1228.0
1,31,2022-08-01,1501.0,1501.0
1,32,2022-08-01,6201.0,6201.0
1,33,2022-08-01,1500.0,1500.0
1,34,2022-08-01,14612.0,14612.0
1,35,2022-08-01,2484.0,2484.0
1,36,2022-08-01,37652.0,37652.0
1,37,2022-08-01,79972.0,79972.0
1,38,2022-08-01,868.0,868.0
1,39,2022-08-01,36390.0,36390.0
1,40,2022-08-01,10463.0,10463.0
1,41,2022-08-01,2466.0,2466.0
1,42,2022-08-01,19316.0,19316.0
1,44,2022-08-01,1495.0,1495.0
1,45,2022-08-01,53245.0,53245.0
1,46,2022-08-01,732.0,732.0
1,47,2022-08-01,1609531.0,712925.0
1,48,2022-08-01,149305.0,149305.0
1,49,2022-08-01,4628.0,4628.0
1,50,2022-08-01,739.0,739.0
1,51,2022-08-01,43491.0,43491.0
1,53,2022-08-01,6508.0,6508.0
1,54,2022-08-01,2674.0,2674.0
1,55,2022-08-01,7271.0,7271.0
1,56,2022-08-01,698.0,698.0
1,1,2022-09-01,26502882.0,8503250.0
1,2,2022-09-01,0.0,0.0
1,4,2022-09-01,6710.0,6710.0
1,5,2022-09-01,22671.0,22671.0
1,6,2022-09-01,17415.0,17415.0
1,8,2022-09-01,19546.0,19546.0
1,9,2022-09-01,4810.0,4810.0
1,10,2022-09-01,1795.0,1795.0
1,11,2022-09-01,3681.0,3681.0
1,12,2022-09-01,1437370.0,693165.0
1,13,2022-09-01,3611459.0,1390222.0
1,15,2022-09-01,75.0,75.0
1,16,2022-09-01,1355.0,1355.0
1,17,2022-09-01,34292.0,34292.0
1,18,2022-09-01,19647.0,19647.0
1,19,2022-09-01,3963.0,3963.0
1,20,2022-09-01,9552.0,9552.0
1,21,2022-09-01,108189.0,108189.0
1,22,2022-09-01,198550.0,198550.0
1,23,2022-09-01,1498.0,1498.0
1,24,2022-09-01,12708.0,12708.0
1,25,2022-09-01,7759.0,7759.0
1,26,2022-09-01,27114.0,27114.0
1,27,2022-09-01,6027.0,6027.0
1,28,2022-09-01,1590541.0,789740.0
1,29,2022-09-01,19169.0,19169.0
1,30,2022-09-01,968.0,968.0
1,31,2022-09-01,1648.0,1648.0
1,32,2022-09-01,4947.0,4947.0
1,33,2022-09-01,1572.0,1572.0
1,34,2022-09-01,8016.0,8016.0
1,35,2022-09-01,1904.0,1904.0
1,36,2022-09-01,25825.0,25825.0
1,37,2022-09-01,63597.0,63597.0
1,38,2022-09-01,420.0,420.0
1,39,2022-09-01,29501.0,29501.0
1,40,2022-09-01,9352.0,9352.0
1,41,2022-09-01,1671.0,1671.0
1,42,2022-09-01,12684.0,12684.0
1,44,2022-09-01,1194.0,1194.0
1,45,2022-09-01,45568.0,45568.0
1,46,2022-09-01,624.0,624.0
1,47,2022-09-01,1457410.0,732924.0
1,48,2022-09-01,136232.0,136232.0
1,49,2022-09-01,3917.0,3917.0
1,50,2022-09-01,660.0,660.0
1,51,2022-09-01,31012.0,31012.0
1,53,2022-09-01,3189.0,3189.0
1,54,2022-09-01,2227.0,2227.0
1,55,2022-09-01,5274.0,5274.0
1,56,2022-09-01,912.0,912.0
1,1,2022-10-01,32451231.0,11722909.0
1,2,2022-10-01,0.0,0.0
1,4,2022-10-01,13540.0,13540.0
1,5,2022-10-01,42294.0,42294.0
1,6,2022-10-01,25866.0,25866.0
1,8,2022-10-01,24670.0,24670.0
1,9,2022-10-01,6076.0,6076.0
1,10,2022-10-01,2077.0,2077.0
1,11,2022-10-01,7616.0,7616.0
1,12,2022-10-01,2168148.0,1206045.0
1,13,2022-10-01,4593020.0,2165483.0
1,15,2022-10-01,0.0,0.0
1,16,2022-10-01,1970.0,1970.0
1,17,2022-10-01,59385.0,59385.0
1,18,2022-10-01,46940.0,46940.0
1,19,2022-10-01,8484.0,8484.0
1,20,2022-10-01,19904.0,19904.0
1,21,2022-10-01,186306.0,186306.0
1,22,2022-10-01,316654.0,316654.0
1,23,2022-10-01,3890.0,3890.0
1,24,2022-10-01,15044.0,15044.0
1,25,2022-10-01,14490.0,14490.0
1,26,2022-10-01,29959.0,29959.0
1,27,2022-10-01,11306.0,11306.0
1,28,2022-10-01,1824757.0,1050378.0
1,29,2022-10-01,37511.0,37511.0
1,30,2022-10-01,2698.0,2698.0
1,31,2022-10-01,3287.0,3287.0
1,32,2022-10-01,8285.0,8285.0
1,33,2022-10-01,2436.0,2436.0
1,34,2022-10-01,18676.0,18676.0
1,35,2022-10-01,4077.0,4077.0
1,36,2022-10-01,58771.0,58771.0
1,37,2022-10-01,114216.0,114216.0
1,38,2022-10-01,991.0,991.0
1,39,2022-10-01,50639.0,50639.0
1,40,2022-10-01,19455.0,19455.0
1,41,2022-10-01,2764.0,2764.0
1,42,2022-10-01,36728.0,36728.0
1,44,2022-10-01,2057.0,2057.0
1,45,2022-10-01,99593.0,99593.0
1,46,2022-10-01,1954.0,1954.0
1,47,2022-10-01,2077575.0,1207103.0
1,48,2022-10-01,224594.0,224594.0
1,49,2022-10-01,4376.0,4376.0
1,50,2022-10-01,2834.0,2834.0
1,51,2022-10-01,59782.0,59782.0
1,53,2022-10-01,6752.0,6752.0
1,54,2022-10-01,4727.0,4727.0
1,55,2022-10-01,11291.0,11291.0
1,56,2022-10-01,2255.0,2255.0
1,1,2022-11-01,30499071.0,8917863.0
1,2,2022-11-01,0.0,0.0
1,4,2022-11-01,5665.0,5665.0
1,5,2022-11-01,30365.0,30365.0
1,6,2022-11-01,14177.0,14177.0
1,8,2022-11-01,13657.0,13657.0
1,9,2022-11-01,1857.0,1857.0
1,10,2022-11-01,249.0,249.0
1,11,2022-11-01,1454.0,1454.0
1,12,2022-11-01,2034359.0,908512.0
1,13,2022-11-01,3927935.0,1322007.0
1,15,2022-11-01,0.0,0.0
1,16,2022-11-01,876.0,876.0
1,17,2022-11-01,35671.0,35671.0
1,18,2022-11-01,23627.0,23627.0
1,19,2022-11-01,6046.0,6046.0
1,20,2022-11-01,14381.0,14381.0
1,21,2022-11-01,75339.0,75339.0
1,22,2022-11-01,205178.0,205178.0
1,23,2022-11-01,1498.0,1498.0
1,24,2022-11-01,8865.0,8865.0
1,25,2022-11-01,7281.0,7281.0
1,26,2022-11-01,16895.0,16895.0
1,27,2022-11-01,3718.0,3718.0
1,28,2022-11-01,1835347.0,811550.0
1,29,2022-11-01,15409.0,15409.0
1,30,2022-11-01,699.0,699.0
1,31,2022-11-01,872.0,872.0
1,32,2022-11-01,4516.0,4516.0
1,33,2022-11-01,482.0,482.0
1,34,2022-11-01,10397.0,10397.0
1,35,2022-11-01,1315.0,1315.0
1,36,2022-11-01,14887.0,14887.0
1,37,2022-11-01,79616.0,79616.0
1,38,2022-11-01,435.0,435.0
1,39,2022-11-01,28761.0,28761.0
1,40,2022-11-01,9123.0,9123.0
1,41,2022-11-01,728.0,728.0
1,42,2022-11-01,43068.0,43068.0
1,44,2022-11-01,594.0,594.0
1,45,2022-11-01,51115.0,51115.0
1,46,2022-11-01,655.0,655.0
1,47,2022-11-01,1568705.0,714099.0
1,48,2022-11-01,116186.0,116186.0
1,49,2022-11-01,1956.0,1956.0
1,50,2022-11-01,103.0,103.0
1,51,2022-11-01,34020.0,34020.0
1,53,2022-11-01,4605.0,4605.0
1,54,2022-11-01,3579.0,3579.0
1,55,2022-11-01,4889.0,4889.0
1,56,2022-11-01,296.0,296.0
1,1,2022-12-01,25438179.0,6262699.0
1,2,2022-12-01,0.0,0.0
1,4,2022-12-01,1435.0,1435.0
1,5,2022-12-01,11631.0,11631.0
1,6,2022-12-01,9827.0,9827.0
1,8,2022-12-01,9808.0,9808.0
1,9,2022-12-01,333.0,333.0
1,10,2022-12-01,266.0,266.0
1,11,2022-12-01,672.0,672.0
1,12,2022-12-01,1495840.0,563444.0
1,13,2022-12-01,2982357.0,793439.0
1,15,2022-12-01,0.0,0.0
1,16,2022-12-01,111.0,111.0
1,17,2022-12-01,13054.0,13054.0
1,18,2022-12-01,8228.0,8228.0
1,19,2022-12-01,1378.0,1378.0
1,20,2022-12-01,8374.0,8374.0
1,21,2022-12-01,36311.0,36311.0
1,22,2022-12-01,103325.0,103325.0
1,23,2022-12-01,175.0,175.0
1,24,2022-12-01,4205.0,4205.0
1,25,2022-12-01,1077.0,1077.0
1,26,2022-12-01,5419.0,5419.0
1,27,2022-12-01,964.0,964.0
1,28,2022-12-01,1188826.0,511901.0
1,29,2022-12-01,7438.0,7438.0
1,30,2022-12-01,539.0,539.0
1,31,2022-12-01,618.0,618.0
1,32,2022-12-01,2717.0,2717.0
1,33,2022-12-01,98.0,98.0
1,34,2022-12-01,2451.0,2451.0
1,35,2022-12-01,1122.0,1122.0
1,36,2022-12-01,4682.0,4682.0
1,37,2022-12-01,34113.0,34113.0
1,38,2022-12-01,62.0,62.0
1,39,2022-12-01,11322.0,11322.0
1,40,2022-12-01,1943.0,1943.0
1,41,2022-12-01,217.0,217.0
1,42,2022-12-01,15619.0,15619.0
1,44,2022-12-01,19.0,19.0
1,45,2022-12-01,20362.0,20362.0
1,46,2022-12-01,0.0,0.0
1,47,2022-12-01,1204566.0,459750.0
1,48,2022-12-01,50221.0,50221.0
1,49,2022-12-01,348.0,348.0
1,50,2022-12-01,0.0,0.0
1,51,2022-12-01,16008.0,16008.0
1,53,2022-12-01,792.0,792.0
1,54,2022-12-01,1479.0,1479.0
1,55,2022-12-01,1110.0,1110.0
1,56,2022-12-01,427.0,427.0
2,1,2022-01-01,0.0,0.0
2,2,2022-01-01,243272.0,214808.0
2,4,2022-01-01,1122.0,1122.0
2,5,2022-01-01,0.0,0.0
2,6,2022-01-01,8286.0,8286.0
2,8,2022-01-01,3710.0,3710.0
2,9,2022-01-01,0.0,0.0
2,10,2022-01-01,0.0,0.0
2,11,2022-01-01,0.0,0.0
2,12,2022-01-01,702.0,702.0
2,13,2022-01-01,877.0,877.0
2,15,2022-01-01,1675.0,1675.0
2,16,2022-01-01,0.0,0.0
2,17,2022-01-01,591.0,591.0
2,18,2022-01-01,0.0,0.0
2,19,2022-01-01,0.0,0.0
2,20,2022-01-01,0.0,0.0
2,21,2022-01-01,259.0,259.0
2,22,2022-01-01,0.0,0.0
2,23,2022-01-01,0.0,0.0
2,24,2022-01-01,0.0,0.0
2,25,2022-01-01,434.0,434.0
2,26,2022-01-01,425.0,425.0
2,27,2022-01-01,2102.0,2102.0
2,28,2022-01-01,0.0,0.0
2,29,2022-01-01,429.0,429.0
2,30,2022-01-01,0.0,0.0
2,31,2022-01-01,0.0,0.0
2,32,2022-01-01,735.0,735.0
2,33,2022-01-01,0.0,0.0
2,34,2022-01-01,0.0,0.0
2,35,2022-01-01,0.0,0.0
2,36,2022-01-01,0.0,0.0
2,37,2022-01-01,0.0,0.0
2,38,2022-01-01,0.0,0.0
2,39,2022-01-01,422.0,422.0
2,40,2022-01-01,0.0,0.0
2,41,2022-01-01,2489.0,2489.0
2,42,2022-01-01,0.0,0.0
2,44,2022-01-01,0.0,0.0
2,45,2022-01-01,0.0,0.0
2,46,2022-01-01,146.0,146.0
2,47,2022-01-01,504.0,504.0
2,48,2022-01-01,2010.0,2010.0
2,49,2022-01-01,3741.0,3741.0
2,50,2022-01-01,0.0,0.0
2,51,2022-01-01,0.0,0.0
2,53,2022-01-01,49237.0,49237.0
2,54,2022-01-01,0.0,0.0
2,55,2022-01-01,698.0,698.0
2,56,2022-01-01,0.0,0.0
2,1,2022-02-01,92.0,92.0
2,2,2022-02-01,165464.0,153420.0
2,4,2022-02-01,8695.0,8695.0
2,5,2022-02-01,0.0,0.0
2,6,2022-02-01,4197.0,4197.0
2,8,2022-02-01,2151.0,2151.0
2,9,2022-02-01,0.0,0.0
2,10,2022-02-01,0.0,0.0
2,11,2022-02-01,0.0,0.0
2,12,2022-02-01,330.0,330.0
2,13,2022-02-01,489.0,489.0
2,15,2022-02-01,2973.0,2973.0
2,16,2022-02-01,633.0,633.0
2,17,2022-02-01,264.0,264.0
2,18,2022-02-01,0.0,0.0
2,19,2022-02-01,0.0,0.0
2,20,2022-02-01,0.0,0.0
